flag_id,customer_id,flag_type,flagged_at,resolved_at,severity
FLAG-00001,CUST-0012,AML,2023-06-15 09:23:11,2024-01-22 14:55:30,High
FLAG-00002,CUST-0045,fraud,2023-08-09 08:12:45,,CRITICAL
FLAG-00003,CUST-0003,Sanctions,2024-01-19 16:40:22,2024-06-30 11:11:11,Medium
FLAG-00004,CUST-0067,PEP,2023-11-18 07:33:19,,high
FLAG-00005,CUST-0021,unusual_activity,2024-03-05 19:50:08,2024-09-14 13:28:37,Low
FLAG-00006,CUST-0058,AML,2023-06-27 22:05:44,,MEDIUM
FLAG-00007,CUST-0034,FRAUD,2024-07-08 06:47:55,2024-12-30 15:32:10,critical
FLAG-00008,CUST-0076,sanctions,2023-10-25 10:19:28,,High
FLAG-00009,CUST-0009,Pep,2024-04-19 18:44:33,2025-01-22 03:56:42,low
FLAG-00010,CUST-0051,UNUSUAL_ACTIVITY,2023-12-03 12:08:17,,Medium
FLAG-00011,CUST-0028,aml,2024-08-21 20:31:55,2025-02-15 09:13:06,HIGH
FLAG-00012,CUST-0063,Fraud,2023-05-16 14:47:52,,critical
FLAG-00013,CUST-0017,SANCTIONS,2024-02-28 09:04:16,2024-07-05 17:22:48,Low
FLAG-00014,CUST-0042,pep,2023-09-07 08:45:29,,MEDIUM
FLAG-00015,CUST-0005,Unusual_Activity,2024-11-12 14:07:33,2025-03-30 21:59:14,high
FLAG-00016,CUST-0074,AML,2023-03-30 05:38:20,,Low
FLAG-00017,CUST-0030,fraud,2024-06-05 16:44:51,2024-11-09 11:26:07,CRITICAL
FLAG-00018,CUST-0056,Sanctions,2023-07-19 07:15:33,,medium
FLAG-00019,CUST-0013,PEP,2024-01-08 19:48:42,2024-08-02 13:37:08,High
FLAG-00020,CUST-0069,unusual_activity,2023-11-25 13:54:06,,LOW
FLAG-00021,CUST-0022,AML,2024-05-14 22:39:18,2025-01-18 05:16:41,Critical
FLAG-00022,CUST-0048,FRAUD,2023-04-29 15:28:09,,medium
FLAG-00023,CUST-0001,sanctions,2024-07-23 18:02:54,2025-02-14 10:45:32,High
FLAG-00024,CUST-0037,Pep,2023-12-16 04:29:55,,LOW
FLAG-00025,CUST-0064,UNUSUAL_ACTIVITY,2024-03-09 17:03:47,2024-09-30 10:41:23,critical
FLAG-00026,CUST-0010,aml,2023-06-22 10:19:28,,Medium
FLAG-00027,CUST-0053,Fraud,2024-09-30 15:56:38,2025-03-07 08:37:26,HIGH
FLAG-00028,CUST-0033,SANCTIONS,2023-02-14 08:22:11,,low
FLAG-00029,CUST-0075,pep,2024-08-07 21:35:44,2024-12-19 12:06:38,Critical
FLAG-00030,CUST-0019,Unusual_Activity,2023-10-11 12:08:17,,MEDIUM
FLAG-00031,CUST-0046,AML,2024-04-26 09:04:16,2024-10-11 16:31:14,high
FLAG-00032,CUST-0002,fraud,2023-07-05 14:47:52,,Low
FLAG-00033,CUST-0055,Sanctions,2024-12-19 18:29:37,2025-04-01 23:47:56,CRITICAL
FLAG-00034,CUST-0031,PEP,2023-03-23 06:18:29,,medium
FLAG-00035,CUST-0068,unusual_activity,2024-06-11 14:11:07,2024-11-04 03:51:08,High
FLAG-00036,CUST-0014,AML,2023-09-28 20:07:22,,LOW
FLAG-00037,CUST-0050,FRAUD,2024-02-04 07:42:19,2024-07-19 16:15:33,critical
FLAG-00038,CUST-0023,sanctions,2023-11-09 16:44:51,,Medium
FLAG-00039,CUST-0066,Pep,2024-05-27 01:28:47,2025-01-31 13:54:06,HIGH
FLAG-00040,CUST-0039,UNUSUAL_ACTIVITY,2023-08-15 13:02:35,,low
FLAG-00041,CUST-0007,aml,2024-01-31 22:39:18,2024-08-15 19:48:42,Critical
FLAG-00042,CUST-0052,Fraud,2023-04-08 08:17:49,,MEDIUM
FLAG-00043,CUST-0027,SANCTIONS,2024-10-03 05:58:07,2025-03-22 15:34:26,high
FLAG-00044,CUST-0073,pep,2023-06-17 19:09:43,,Low
FLAG-00045,CUST-0016,Unusual_Activity,2024-03-22 10:46:31,2024-09-12 22:14:36,CRITICAL
FLAG-00046,CUST-0041,AML,2023-12-05 14:22:58,,medium
FLAG-00047,CUST-0062,fraud,2024-07-14 21:19:43,2025-02-05 04:53:17,High
FLAG-00048,CUST-0004,Sanctions,2023-02-26 23:55:44,,LOW
FLAG-00049,CUST-0057,PEP,2024-09-08 16:08:37,2024-12-11 08:22:11,critical
FLAG-00050,CUST-0035,unusual_activity,2023-05-12 12:06:38,,Medium
FLAG-00051,CUST-0070,AML,2024-08-25 07:58:29,2025-01-04 18:29:37,HIGH
FLAG-00052,CUST-0020,FRAUD,2023-10-30 15:56:38,,low
FLAG-00053,CUST-0047,sanctions,2024-04-03 09:24:33,2024-10-28 06:35:48,Critical
FLAG-00054,CUST-0011,Pep,2023-07-28 20:48:21,,MEDIUM
FLAG-00055,CUST-0054,UNUSUAL_ACTIVITY,2024-12-11 03:29:16,2025-04-02 17:56:42,high
FLAG-00056,CUST-0036,aml,2023-03-07 11:02:35,,Low
FLAG-00057,CUST-0072,Fraud,2024-06-24 08:17:49,2024-11-27 07:39:12,CRITICAL
FLAG-00058,CUST-0018,SANCTIONS,2023-09-19 23:55:44,,medium
FLAG-00059,CUST-0059,pep,2024-02-16 16:31:14,2024-08-25 14:22:58,High
FLAG-00060,CUST-0040,Unusual_Activity,2023-11-04 09:04:16,,LOW
FLAG-00061,CUST-0006,AML,2024-05-31 22:43:18,2025-01-15 09:24:33,critical
FLAG-00062,CUST-0049,fraud,2023-08-23 05:58:07,,Medium
FLAG-00063,CUST-0024,Sanctions,2024-01-15 14:11:07,2024-07-06 20:48:21,HIGH
FLAG-00064,CUST-0065,PEP,2023-04-02 17:56:42,,low
FLAG-00065,CUST-0032,unusual_activity,2024-10-28 03:29:16,2025-03-17 16:08:37,Critical
FLAG-00066,CUST-0043,AML,2023-06-09 12:06:38,,MEDIUM
FLAG-00067,CUST-0038,FRAUD,2024-03-17 07:58:29,2024-09-08 22:43:18,high
FLAG-00068,CUST-0061,sanctions,2023-12-22 19:42:05,,Low
FLAG-00069,CUST-0029,Pep,2024-07-06 15:34:26,2025-02-16 05:16:41,CRITICAL
FLAG-00070,CUST-0075,UNUSUAL_ACTIVITY,2023-02-18 10:46:31,,medium
FLAG-00071,CUST-0015,aml,2024-09-14 01:28:47,2024-12-03 14:07:33,High
FLAG-00072,CUST-0044,Fraud,2023-05-27 20:31:55,,LOW
FLAG-00073,CUST-0008,SANCTIONS,2024-04-26 11:26:07,2024-10-18 09:13:06,critical
FLAG-00074,CUST-0060,pep,2023-10-03 06:47:55,,Medium
FLAG-00075,CUST-0026,Unusual_Activity,2024-08-07 18:02:54,2025-01-08 12:33:45,HIGH
FLAG-00076,CUST-0071,AML,2023-07-19 14:47:52,,low
FLAG-00001,CUST-0012,AML,2023-06-15 09:23:11,2024-01-22 14:55:30,High
FLAG-00020,CUST-0069,unusual_activity,2023-11-25 13:54:06,,LOW
FLAG-00040,CUST-0039,UNUSUAL_ACTIVITY,2023-08-15 13:02:35,,low
FLAG-00060,CUST-0040,Unusual_Activity,2023-11-04 09:04:16,,LOW
