transaction_id,customer_id,transaction_date,amount,currency,transaction_type,status
TXN-000001,CUST-0012,2023-04-15,12450.75,USD,Credit,Completed
TXN-000002,CUST-0045,2024-01-22,,EUR,debit,PENDING
TXN-000003,CUST-0003,2023-08-09,8920.30,gbp,Transfer,completed
TXN-000004,CUST-0067,2024-06-30,345.00,INR,PAYMENT,Failed
TXN-000005,CUST-0021,,48750.12,USD,credit,Completed
TXN-000006,CUST-0058,2023-11-18,5670.88,JPY,Debit,REVERSED
TXN-000007,CUST-0034,2024-03-05,22100.00,BRL,transfer,pending
TXN-000008,CUST-0076,2023-06-27,9800.45,CAD,Refund,COMPLETED
TXN-000009,CUST-0009,2024-09-14,1250.33,AUD,CREDIT,failed
TXN-000010,CUST-0051,2023-02-11,38400.67,usd,Payment,Completed
TXN-000011,CUST-0028,2024-07-08,6780.90,EUR,debit,Pending
TXN-000012,CUST-0063,2023-10-25,15300.15,GBP,Transfer,COMPLETED
TXN-000013,CUST-0017,2024-04-19,890.50,INR,payment,failed
TXN-000014,CUST-0042,2023-12-03,27650.00,USD,CREDIT,Reversed
TXN-000015,CUST-0005,2024-08-21,4320.75,JPY,Debit,completed
TXN-000016,CUST-0074,2023-05-16,11080.33,BRL,transfer,PENDING
TXN-000017,CUST-0030,2024-02-28,55000.00,CAD,Refund,Completed
TXN-000018,CUST-0056,2023-09-07,3210.88,AUD,credit,FAILED
TXN-000019,CUST-0013,2024-11-12,19750.45,USD,DEBIT,pending
TXN-000020,CUST-0069,2023-03-30,7890.22,EUR,Payment,Completed
TXN-000021,CUST-0022,2024-06-05,42100.00,GBP,transfer,REVERSED
TXN-000022,CUST-0048,2023-07-19,,INR,Refund,completed
TXN-000023,CUST-0001,2024-01-08,2560.90,USD,CREDIT,Pending
TXN-000024,CUST-0037,2023-11-25,16800.33,JPY,debit,COMPLETED
TXN-000025,CUST-0064,2024-05-14,9430.67,BRL,Transfer,failed
TXN-000026,CUST-0010,2023-08-02,31200.00,CAD,payment,Reversed
TXN-000027,CUST-0053,2024-10-18,5870.45,AUD,REFUND,completed
TXN-000028,CUST-0026,2023-04-29,14500.88,USD,Credit,PENDING
TXN-000029,CUST-0071,2024-07-23,8100.00,EUR,debit,Completed
TXN-000030,CUST-0015,2023-12-16,26340.75,GBP,TRANSFER,failed
TXN-000031,CUST-0044,2024-03-09,1890.33,INR,Payment,COMPLETED
TXN-000032,CUST-0008,2023-06-22,45600.50,USD,credit,pending
TXN-000033,CUST-0060,2024-09-30,7210.00,JPY,Debit,Reversed
TXN-000034,CUST-0033,2023-02-14,12980.88,BRL,transfer,COMPLETED
TXN-000035,CUST-0075,2024-08-07,3450.22,CAD,REFUND,Failed
TXN-000036,CUST-0019,2023-10-11,20100.45,AUD,Payment,completed
TXN-000037,CUST-0046,2024-04-26,58900.00,USD,CREDIT,PENDING
TXN-000038,CUST-0002,2023-07-05,,EUR,debit,Completed
TXN-000039,CUST-0055,2024-12-19,4780.67,GBP,Transfer,failed
TXN-000040,CUST-0031,2023-03-23,17400.33,INR,payment,REVERSED
TXN-000041,CUST-0068,2024-06-11,9250.90,USD,Refund,completed
TXN-000042,CUST-0014,2023-09-28,33800.00,JPY,DEBIT,Pending
TXN-000043,CUST-0050,2024-02-04,6120.45,BRL,credit,COMPLETED
TXN-000044,CUST-0023,2023-11-09,11500.88,CAD,Transfer,failed
TXN-000045,CUST-0066,2024-05-27,2890.00,AUD,PAYMENT,Completed
TXN-000046,CUST-0039,2023-08-15,24700.75,USD,debit,PENDING
TXN-000047,CUST-0007,2024-01-31,8340.33,EUR,Refund,reversed
TXN-000048,CUST-0052,2023-04-08,41200.50,GBP,CREDIT,completed
TXN-000049,CUST-0027,2024-10-03,5560.22,INR,transfer,Failed
TXN-000050,CUST-0073,2023-06-17,18900.00,USD,Payment,COMPLETED
TXN-000051,CUST-0016,2024-03-22,7650.88,JPY,DEBIT,pending
TXN-000052,CUST-0041,2023-12-05,29400.45,BRL,credit,Completed
TXN-000053,CUST-0062,2024-07-14,4100.00,CAD,Transfer,REVERSED
TXN-000054,CUST-0004,2023-02-26,13670.33,AUD,refund,completed
